Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Ms,logHc,logTc,logER,logElong,logHV,logCost
90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.564000195363619,0.023993999999999963,0.0,1.0,-0.0027027398407765,56.1538195,5615.38195,0.0,0.01030927835051546,0.015299999999999996,8.1,0.36000000000000004,4.291,13.0,0.0,0.0,13.0,0.0,81.00999999999999,0.018886557215158573,0.4589999999999995,-0.0001819293165387422,2.33,2.468524557,3.049992857,1.354876423,1.602059991,2.035189509,0.582063363
89.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.288393109857205,0.02399399999999996,0.0,1.0,-0.0028809285111417904,56.18470145,5618.470145,0.0,0.010748531671014779,0.016642999999999995,8.11,0.3916,4.2921000000000005,13.0,0.0,0.0,13.0,0.0,80.95899999999999,0.019710443068843755,0.49928999999999946,-0.00019792509817160176,2.34,2.495918807,3.053846427,1.365487985,1.602059991,2.041905639,0.619093331
88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.041954231436108,0.02399399999999996,0.0,1.0,-0.003050614377441308,56.2155834,5621.55834,0.0,0.011159393412961481,0.017951999999999992,8.120000000000001,0.4224,4.293200000000001,13.0,0.0,0.0,13.0,0.0,80.908,0.020483806725487406,0.5385599999999994,-0.00021352347177103648,2.35,2.506450911,3.057285644,1.376941757,1.602059991,2.049450618,0.653212514
87.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.819923793439042,0.02399399999999996,0.0,1.0,-0.0032124190760834514,56.24646535,5624.646535,0.0,0.011544917075729678,0.019226999999999994,8.129999999999999,0.4524,4.2943,13.0,0.0,0.0,13.0,0.0,80.857,0.021212109223958657,0.5768099999999994,-0.00022872485718237155,2.36,2.523954462,3.06069784,1.386142109,1.602059991,2.05789422,0.683947131
86.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6186182338552,0.023993999999999956,0.0,1.0,-0.003366866414821585,56.2773473,5627.73473,0.0,0.011907585156415589,0.020467999999999993,8.14,0.48160000000000003,4.2954,13.0,0.0,0.0,13.0,0.0,80.806,0.02189978294230056,0.6140399999999994,-0.000243529643996202,2.37,2.545702874,3.063708559,1.392345155,1.602059991,2.067145279,0.713490543
85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.43513054138059,0.02399399999999996,0.0,1.0,-0.0035144033560190083,56.30822925,5630.8229249999995,0.0,0.012249448419456018,0.021674999999999993,8.15,0.51,4.2965,13.0,0.0,0.0,13.0,0.0,80.755,0.022550482933297287,0.6502499999999993,-0.0002579381915667634,2.38,2.557447046,3.06669855,1.395675785,1.602059991,2.077149795,0.741151599
84.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.267127958652585,0.02399399999999996,0.0,1.0,-0.0036554153773427655,56.3391112,5633.91112,0.0,0.012572224128822576,0.02284799999999999,8.16,0.5376,4.2976,13.0,0.0,0.0,13.0,0.0,80.704,0.02316726412001858,0.6854399999999992,-0.00027195082902684367,2.39,2.572464987,3.069668097,1.396373728,1.602059991,2.087923321,0.766412847
83.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.112711433956726,0.02399399999999996,0.0,1.0,-0.0037902379751094573,56.36999315,5636.999315,0.0,0.012877367138150853,0.02398699999999999,8.17,0.5644,4.2987,13.0,0.0,0.0,13.0,0.0,80.65299999999999,0.023752709471951176,0.7196099999999992,-0.0002855678552981661,2.4,2.594248867,3.072249898,1.394626764,1.602059991,2.099335278,0.790988475
82.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.970315528752147,0.02399399999999996,0.0,1.0,-0.003919165449339123,56.40087509999999,5640.087509999999,0.0,0.013166122489580925,0.025091999999999986,8.18,0.5903999999999999,4.299799999999999,13.0,0.0,0.0,13.0,0.0,80.60199999999999,0.024309024796586285,0.7527599999999991,-0.00029878953909746354,2.41,2.600700696,3.074450719,1.391640703,1.602059991,2.111430552,0.813580989
81.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.838635585002361,0.02399399999999996,0.0,1.0,-0.004042457728198141,56.43175705,5643.175705,0.0,0.013439565087997957,0.026162999999999992,8.190000000000001,0.6156,4.3009,13.0,0.0,0.0,13.0,0.0,80.551,0.024838110204530865,0.7848899999999992,-0.00031161611893840493,2.41,2.55192551,3.077004327,1.386142109,1.602059991,2.124080157,0.835690571
80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71657371645625,0.02399399999999996,0.0,1.0,-0.004160345749296494,56.462639,5646.2639,0.0,0.013698630136986313,0.027199999999999995,8.200000000000001,0.6400000000000001,4.3020000000000005,13.0,0.0,0.0,13.0,0.0,80.5,0.025341614906832267,0.8159999999999993,-0.0003240478031282922,2.42,2.476788168,3.079181246,1.37821615,1.602059991,2.137227476,0.856124444
79.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.603198082530355,0.02399399999999996,0.0,1.0,-0.004273035759511614,56.493520950000004,5649.352095,0.0,0.013944136839723608,0.02820299999999999,8.21,0.6636,4.303100000000001,13.0,0.0,0.0,13.0,0.0,80.44900000000001,0.02582097986488909,0.846089999999999,-0.00033608476976234106,2.43,2.381890881,3.080987047,1.369401414,1.602059991,2.150848507,0.876217841
78.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.497711716362993,0.02399399999999996,0.0,1.0,-0.004380712791340496,56.5244029,5652.44029,0.0,0.014176807102811816,0.02917199999999999,8.22,0.6864,4.304200000000001,13.0,0.0,0.0,13.0,0.0,80.398,0.02627747143057301,0.875159999999999,-0.0003477271667108317,2.43,2.303714309,3.08278537,1.357172258,1.602059991,2.164887958,0.894869657
77.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.399428344240851,0.02399399999999996,0.0,1.0,-0.004483543503206478,56.55528485,5655.528485,0.0,0.014397280473828813,0.030106999999999988,8.23,0.7084,4.305300000000001,13.0,0.0,0.0,13.0,0.0,80.347,0.026712208197880203,0.9032099999999991,-0.00035897511160535786,2.44,2.252148855,3.084576278,1.343605508,1.602059991,2.179206976,0.912753304
76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.307753400770565,0.02399399999999996,0.0,1.0,-0.004581678522115092,56.5861668,5658.61668,0.0,0.014606126199769205,0.031007999999999987,8.24,0.7296,4.3064,13.0,0.0,0.0,13.0,0.0,80.29599999999999,0.02712618266681259,0.930239999999999,-0.00036982869181713743,2.45,2.1857121,3.086359831,1.329194415,1.602059991,2.193820026,0.930439595
75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222168959796639,0.02399399999999996,0.0,1.0,-0.004675254392360772,56.617048749999995,5661.704874999999,0.0,0.014803853056144246,0.03187499999999999,8.25,0.75,4.3075,13.0,0.0,0.0,13.0,0.0,80.245,0.027520278891523708,0.9562499999999989,-0.0003802879644336406,2.45,2.10744741,3.087781418,1.312388949,1.602059991,2.208602574,0.946943271
